work_year,experience_level,employment_type,job_title,salary_currency,employee_residence,remote_ratio,company_location,company_size,salary_in_usd_log
2024,SE,FT,Engineer,USD,US,100,US,M,12.314927050442256
2024,MI,FT,Software Engineer,USD,US,0,US,M,11.899547485276912
2024,MI,FT,Software Engineer,USD,US,0,US,M,11.536641991587544
2024,SE,FT,Software Engineer,USD,US,0,US,M,11.899547485276912
2024,SE,FT,Software Engineer,USD,US,0,US,M,11.536641991587544
2024,SE,FT,Platform Engineer,USD,US,0,US,M,12.591335046320818
2024,SE,FT,Platform Engineer,USD,US,0,US,M,11.67163715612505
2024,EN,FT,Business Analyst,USD,US,0,US,M,11.985706483696573
2024,EN,FT,Business Analyst,USD,US,0,US,M,11.924949019375639
2024,MI,FT,Analyst,USD,CA,0,CA,M,11.48452599044853
2024,EN,FT,Analyst,USD,US,0,US,M,11.985706483696573
2024,EN,FT,Analyst,USD,US,0,US,M,11.84333651249848
2024,EN,FT,Analyst,USD,US,0,US,M,11.404894720756523
2024,EN,FT,Analyst,USD,US,0,US,M,11.089805421623343
2024,MI,FT,Software Engineer,USD,US,0,US,M,11.661345470088502
2024,MI,FT,MLOps Engineer,USD,US,0,US,M,12.025749091398891
2024,MI,FT,MLOps Engineer,USD,US,0,US,M,11.617285480294472
2024,MI,FT,Data Manager,USD,US,0,US,M,12.026945979632739
2024,MI,FT,Data Manager,USD,US,0,US,M,11.333798799072794
2024,MI,FT,Data Engineer,USD,CA,0,CA,M,11.834501589069566
2024,MI,FT,Data Engineer,USD,CA,0,CA,M,11.215462380663341
2024,SE,FT,Data Scientist,USD,US,0,US,M,12.3557849187585
2024,SE,FT,Data Scientist,USD,US,0,US,M,11.825544022712041
2024,SE,FT,Research Engineer,USD,US,0,US,M,12.363076394339839
2024,SE,FT,Research Engineer,USD,US,0,US,M,11.891361900690473
2024,MI,FT,Data Operations Associate,USD,US,0,US,M,11.225243392518447
2024,MI,FT,Data Operations Associate,USD,US,0,US,M,11.082142548877775
2024,MI,FT,Data Integration Specialist,USD,US,100,US,M,11.652687407345388
2024,SE,FT,Data Analyst,USD,US,0,US,M,11.40867544359643
2024,SE,FT,Machine Learning Engineer,USD,US,0,US,M,12.570715759118084
2024,SE,FT,Machine Learning Engineer,USD,US,0,US,M,12.064509081208387
2024,SE,FT,Machine Learning Lead,USD,US,0,US,M,12.305465389408209
2024,SE,FT,Machine Learning Lead,USD,US,0,US,M,11.713414325719633
2024,SE,FT,Product Manager,USD,CA,0,CA,M,12.4130868149145
2024,SE,FT,Product Manager,USD,CA,0,CA,M,11.729648448481516
2024,MI,FT,Data Infrastructure Engineer,USD,US,0,US,M,12.186889826113399
2024,MI,FT,Data Infrastructure Engineer,USD,US,0,US,M,11.685196685910682
2024,SE,FT,Data Scientist,USD,US,0,US,M,12.336662215233776
2024,SE,FT,Data Scientist,USD,US,0,US,M,11.748787788692212
2024,EN,FT,Engineer,USD,US,0,US,M,11.695247021764184
2024,SE,FT,Data Architect,USD,US,0,US,M,12.487786946202164
2024,SE,FT,Data Architect,USD,US,0,US,M,12.082321838093998
2024,SE,FT,Solutions Architect,USD,US,0,US,M,12.552212287553523
2024,SE,FT,Solutions Architect,USD,US,0,US,M,11.951180395901384
2024,SE,FT,Solutions Architect,USD,US,0,US,M,12.48552091305485
2024,SE,FT,Solutions Architect,USD,US,0,US,M,11.884489021402711
2024,SE,FT,Solutions Architect,USD,US,0,US,M,12.42327860417763
2024,SE,FT,Solutions Architect,USD,US,0,US,M,11.820410164718188
2024,SE,FT,Data Scientist,USD,US,0,US,M,11.831379196088763
2024,SE,FT,Product Manager,USD,US,0,US,M,11.678533119442038
2024,SE,FT,Data Analyst,USD,US,0,US,M,11.875830958659597
2024,SE,FT,Data Analyst,USD,US,0,US,M,11.573550086786664
2024,SE,FT,Data Analyst,USD,US,0,US,M,11.865833322339716
2024,SE,FT,Data Analyst,USD,US,0,US,M,11.347106980275289
2024,SE,FT,Data Analyst,USD,US,0,US,M,11.651817463836847
2024,EN,FT,Data Analyst,USD,US,0,US,M,11.566466231898259
2024,EN,FT,Data Analyst,USD,US,0,US,M,11.097410021008562
2024,MI,FT,Data Analyst,USD,US,100,US,M,11.108334974272726
2024,MI,FT,Data Analyst,USD,US,100,US,M,10.889304347058893
2024,SE,FT,Data Engineer,USD,US,0,US,M,12.043553716032399
2024,MI,FT,Data Engineer,GBP,US,0,US,M,11.022915027584823
2024,MI,FT,Data Engineer,GBP,US,0,US,M,10.860401859246654
